"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Matthew Iuvara","ALBANY",27,24.56,"D",6,"WR",2026,"CAA",60.5,2,15,6,3,2,15,7.5,0,2,0,0,0,2,1,0,7,3.5,6,0,1,10,0,0,1,0,"33.30%",78.5,0.067,0.2,0.333,0.667,"FCS",0.666666666666667,5,0.2
"Tyson George","GRAMBLING",25,24.54,"D",8,"WR",2026,"SWAC",60.7,3,20,6,3,3,22,7.3,0,1,0,0,0,3,0,0,15,5,5,0,1.1,2.3,1,0,1,0,"0.00%",97.2,0.15,0.15,0,1,"FCS",1,7.33333333333333,0.15
"Daejawn Smith","SOUTHERN U",18,24.52,"D",2,"WR",2026,"SWAC",60.9,1,15,0,4,2,13,6.5,0,0,0,0,0,2,0,0,6,3,6,0,0.87,18.3,0,1,1,0,"0.00%",57.3,0.267,0.267,0.5,0.5,"FCS",0.5,3.25,0.266666666666667
"Jashaun Amin","TOWSON",29,24.47,"D",1,"WR",2026,"CAA",58.9,1,24,4,4,2,22,11,0,1,0,0,0,2,2,1,1,0.5,0,0.5,0.92,9.3,1,0,1,0,"50.00%",66.7,0.083,0.167,0.25,0.5,"FCS",0.5,5.5,0.166666666666667
"Elijah Daniels","CENT CT ST",23,24.16,"D",1,"WR",2026,"Northeast",60.8,2,15,8,2,1,11,11,0,1,0,0,0,1,1,1,1,1,1,1,0.73,15.5,0,0,1,0,"50.00%",66.7,0,0.133,0.5,0.5,"FCS",0.5,5.5,0.133333333333333
"Roriyon Richardson","TEXAS STHN",47,24.16,"D",1,"WR",2026,"SWAC",59.1,2,25,3,6,4,22,5.5,0,1,0,0,0,4,1,0,17,4.3,6,0,0.88,8,0,0,1,0,"16.70%",72.9,0.04,0.24,0.167,0.667,"FCS",0.666666666666667,3.66666666666667,0.24
"Alfred Honesty","WM & MARY",58,24.03,"D",3,"WR",2026,"Patriot",59.5,2,36,0,5,2,16,8,0,2,0,0,0,2,1,0,7,3.5,5,0,0.44,13,0,1,1,0,"20.00%",48.8,0,0.139,0.2,0.4,"FCS",0.4,3.2,0.138888888888889
"Kaleb Washington","TENN MARTN",58,24,"D",3,"WR",2026,"Big South - OVC Football Association",60.6,3,31,7,4,3,15,5,0,2,0,0,0,3,0,0,1,0.3,1,0,0.48,14.3,0,0,1,0,"0.00%",80.2,0.097,0.129,0.25,0.75,"FCS",0.75,3.75,0.129032258064516
"Lawson Dixon","SE LA",60,23.98,"D",14,"WR",2026,"Southland",55.9,4,31,2,5,1,6,6,1,1,1,0,0,2,2,1,0,0,0,0.5,0.19,20.4,0,0,0.5,0.5,"40.00%",79.2,0.097,0.161,0.4,0.2,"FCS",0.2,1.2,0.161290322580645
"Kaymen Coleman","CHISTA",28,23.86,"D",12,"WR",2026,"IND (FCS)",61,1,16,1,2,2,13,6.5,0,1,0,0,0,2,1,1,0,0,-1,1,0.81,6.5,0,0,1,0,"50.00%",93.8,0,0.125,0,1,"FCS",1,6.5,0.125
