"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"ARLIS BOARDINGHAM","AUBURN",17,10.81,"F",82,"TE",2026,"SEC",66.2,1,8,0,2,1,3,3,0,0,0,0,0,1,0,0,5,5,1,0,0.38,10,0,0,1,0,"0.00%",56.3,0.125,0.25,0.5,0.5,82,68.2,68.4,61.8,"P4"
"LACOTA DIPPRE","FLORIDA",52,10.47,"F",17,"TE",2026,"SEC",54.3,0,9,0,1,1,8,8,0,0,0,0,0,1,0,0,4,4,3,0,0.89,4,0,0,1,0,"0.00%",100,0,0.111,0,1,17,49.1,37.5,50.5,"P4"
"CARTER NELSON","NEBRASKA",14,10.04,"F",29,"TE",2026,"Big Ten",54.9,0,6,0,1,1,6,6,0,0,0,0,0,1,0,0,8,8,2,0,1,-2,0,0,1,0,"0.00%",91.7,0,0.167,0,1,29,53.5,NA,55.6,"P4"
"CHRISTIAN ABNEY","ILLINOIS",40,9.89,"F",86,"TE",2026,"Big Ten",51.7,2,15,0,1,1,6,6,0,0,0,0,0,1,0,0,6,6,2,0,0.4,0,0,0,1,0,"0.00%",91.7,0,0.067,0,1,86,56.8,26.9,74.6,"P4"
"KALEB THOMAS","HOUSTON",19,9.36,"F",19,"TE",2026,"Big 12",56.4,1,6,2,1,1,4,4,0,0,0,0,0,1,0,0,2,2,2,0,0.67,2,0,0,1,0,"0.00%",83.3,0,0.167,0,1,19,49.9,69.4,46.9,"P4"
"HAWKINS POLLEY","BAYLOR",20,9.12,"F",86,"TE",2026,"Big 12",57.8,0,5,0,1,1,3,3,0,0,0,0,0,1,0,0,1,1,1,0,0.6,2,0,0,1,0,"0.00%",79.2,0.2,0.2,0,1,86,61,68.7,62.4,"P4"
"CHRIS CORBO","GA TECH",34,9.02,"F",17,"TE",2026,"ACC",52.8,0,10,0,2,1,6,6,0,0,0,0,0,1,0,0,2,2,2,0,0.6,7,0,0,1,0,"0.00%",56.3,0,0.2,0,0.5,17,52.3,NA,55.5,"P4"
"GABE BURKLE","PENN STATE",28,9.01,"F",84,"TE",2026,"Big Ten",55.7,1,6,1,2,1,4,4,0,0,0,0,0,2,1,0,1,1,0,0,0.67,2.5,0,0,0.5,0,"50.00%",56.3,0,0.333,0,0.5,84,60,70.3,62.3,"P4"
"JULIAN JOHNSON","MINNESOTA",16,8.88,"F",82,"TE",2026,"Big Ten",55.7,0,5,0,1,1,6,6,0,0,0,0,0,1,0,0,0,0,0,0,1.2,6,0,0,1,0,"0.00%",91.7,0,0.2,0,1,82,51.6,71.1,46.7,"P4"
"HUNTER ANDREWS","UTAH",25,8.59,"F",10,"TE",2026,"Big 12",53.4,1,11,0,1,1,6,6,0,0,0,0,0,1,0,0,1,1,0,0,0.55,5,0,0,1,0,"0.00%",91.7,0.091,0.091,0,1,10,53.6,67.9,56.5,"P4"
