"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Xavier Pugh","TOWSON",28,26.56,"D",6,"HB",2026,"CAA",61.7,3,8,24,3,0,2,0,0,1,8,1,16,2,0,0.25,0.13,0,0,"TOWSON",6,"CAA",74.3,3,18,0,2,2,15,7.5,0,1,0,0,0,2,0,0,15,7.5,7,0,0.83,0,0,0,"100%","0.00%","0.00%",97.9,0.056,0.111,0,"100%","CAA","FCS"
"Ravon Moore","NORFOLK",NA,26.46,"D",7,"HB",2026,"MEAC",0,0,11,80,7.3,1,4,0,0,0,47,4.3,33,3,0,0.364,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Byron Cardwell Jr.","MERCYHURST",16,26.28,"D",21,"HB",2026,"Northeast",65.6,4,6,44,7.3,0,1,0,0,1,26,4.3,18,3,0,0.167,0.17,1,0,"MERCYHURST",21,"Northeast",55,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Northeast","FCS"
"Sam Slade","LIUSHAR",41,26.21,"D",21,"HB",2026,"Northeast",56.1,3,12,43,3.6,0,5,0,0,0,19,1.6,24,2,0,0.417,0,3,0,"LIUSHAR",21,"Northeast",55.6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Northeast","FCS"
"Gerald Modest Jr.","WOFFORD",36,26.08,"D",6,"HB",2026,"Southern",54.4,2,11,37,3.4,0,2,0,0,3,12,1.1,25,2.3,0,0.182,0.27,1,0,"WOFFORD",6,"Southern",52.6,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southern","FCS"
"Leo Boehling","VA MILT IN",NA,25.93,"D",9,"HB",2026,"Southern",0,0,20,102,5.1,0,5,0,0,0,21,1.1,81,4,0,0.25,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Jaylen Jenkins","STF AUSTIN",29,25.8,"D",6,"HB",2026,"Southland",66.9,5,9,39,4.3,0,2,0,0,1,11,1.2,28,3.1,0,0.222,0.11,1,0,"STF AUSTIN",6,"Southland",42.2,2,18,1,3,2,3,1.5,0,1,1,0,0,3,0,0,12,6,3,0,0.17,-3,0,0,"66.70%","33.30%","0.00%",70.1,0,0.167,0,"66.70%","Southland","FCS"
"Michael Dellumo","BUTLER",27,25.65,"D",24,"HB",2026,"Pioneer",62.5,3,7,23,3.3,0,1,0,0,1,10,1.4,13,1.9,0,0.143,0.14,0,0.143,"BUTLER",24,"Pioneer",60.5,0,5,0,1,1,7,7,0,0,0,0,0,1,0,0,9,9,2,0,1.4,-2,0,0,"100%","0.00%","0.00%",95.8,0,0.2,0,"100%","Pioneer","FCS"
"Elijah Harris","HOUCHR",21,25.25,"D",26,"HB",2026,"Southland",63.7,3,9,34,3.8,0,2,0,0,1,4,0.4,30,3.3,0,0.222,0.11,2,0.111,"HOUCHR",26,"Southland",55.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Warrick Stephenson","RICHMOND",19,24.53,"D",36,"HB",2026,"Patriot",58.8,1,6,31,5.2,0,1,0,0,1,7,1.2,24,4,0,0.167,0.17,1,0.167,"RICHMOND",36,"Patriot",55.4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Shane Eason","STHLSK",28,24.37,"D",20,"HB",2026,"Northeast",58.8,5,10,20,2,0,1,0,0,1,1,0.1,19,1.9,0,0.1,0.1,1,0.4,"STHLSK",20,"Northeast",54.4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Northeast","FCS"
"Zion Dobson","NC CENT",23,24.17,"D",22,"HB",2026,"MEAC",57.6,2,11,21,1.9,1,1,0,0,0,-11,-1,32,2.9,0,0.091,0,1,0,"NC CENT",22,"MEAC",75.1,1,8,0,3,3,15,5,0,1,0,0,0,3,0,0,20,6.7,8,0,1.88,-1.7,0,0,"100%","0.00%","0.00%",87.5,0,0.375,0,"100%","MEAC","FCS"
"Jaden Gilbert","YNGTOWN ST",41,24.06,"D",7,"HB",2026,"Missouri Valley",55.7,1,6,20,3.3,0,1,0,0,0,8,1.3,12,2,0,0.167,0,0,0,"YNGTOWN ST",7,"Missouri Valley",66.1,1,22,0,5,5,24,4.8,0,1,0,0,0,5,1,1,19,3.8,5,1,1.09,1,0,0,"100%","0.00%","20.00%",86.7,0,0.227,0,"100%","Missouri Valley","FCS"
"Charles Langama","N DAKOTA",29,23.78,"D",6,"HB",2026,"Missouri Valley",55.1,5,8,27,3.4,0,0,0,0,2,-3,-0.4,30,3.8,0,0,0.25,1,0.25,"N DAKOTA",6,"Missouri Valley",51.8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Ferrari Miller","IDAHO",31,23.41,"D",28,"HB",2026,"Big Sky",60.2,2,6,27,4.5,0,1,0,0,1,15,2.5,12,2,0,0.167,0.17,1,0.167,"IDAHO",28,"Big Sky",51.7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Sky","FCS"
"Kevin Allen III","E WASHGTON",24,23.38,"D",3,"HB",2026,"Big Sky",65.5,4,7,14,2,0,1,0,0,1,-3,-0.4,17,2.4,0,0.143,0.14,0,0,"E WASHGTON",3,"Big Sky",71.9,1,7,0,1,1,14,14,0,1,0,0,0,1,0,0,13,13,1,0,2,1,0,0,"100%","0.00%","0.00%",118.8,0.143,0.143,0,"100%","Big Sky","FCS"
"Kai Honda","PRINCETON",30,22.79,"D",25,"HB",2026,"Ivy",67.6,6,9,27,3,0,3,0,0,0,5,0.6,22,2.4,0,0.333,0,0,0,"PRINCETON",25,"Ivy",56.4,0,13,1,2,1,4,4,0,0,0,0,0,1,0,0,1,1,0,0,0.31,-0.5,0,0,"100%","0.00%","0.00%",56.3,0.077,0.154,0,"50.00%","Ivy","FCS"
"Jaylen Jennings","ARKAPB",NA,22.56,"D",1,"HB",2026,"SWAC",0,0,13,76,5.8,1,3,0,0,0,42,3.2,34,2.6,0,0.231,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Donte West","PENN",47,22.52,"D",2,"HB",2026,"Ivy",60.8,5,19,39,2,0,1,0,0,1,0,0,39,2,0,0.053,0.05,0,0,"PENN",2,"Ivy",52.6,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.00%","0.00%","0.00%",39.6,0,0.105,0,"0.00%","Ivy","FCS"
"Malik Dotson","E WASHGTON",32,22.14,"D",7,"HB",2026,"Big Sky",59.6,3,13,48,3.7,0,2,0,0,0,11,0.8,37,2.9,0,0.154,0,1,0,"E WASHGTON",7,"Big Sky",53.6,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Sky","FCS"
"Preston Godfrey","Argonauts",23,22.12,"D",9,"HB",2026,"United Athletic",77.6,5,6,28,4.7,0,1,0,0,1,13,2.2,15,2.5,0,0.167,0.17,0,0,"Argonauts",9,"United Athletic",55.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","United Athletic","FCS"
"Matt Lawson","N DAKOTA",22,21.97,"D",4,"HB",2026,"Missouri Valley",62.3,4,7,34,4.9,0,1,0,0,0,22,3.1,12,1.7,0,0.143,0,1,0.143,"N DAKOTA",4,"Missouri Valley",52.9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Charles Kellom","E ILLINOIS",21,21.95,"D",4,"HB",2026,"Big South - OVC Football Association",60.4,2,7,-1,-0.1,0,0,0,0,3,-20,-2.9,19,2.7,0,0,0.43,0,0.143,"E ILLINOIS",4,"Big South - OVC Football Association",63.3,2,13,0,2,1,14,14,0,1,0,0,0,1,0,0,19,19,5,0,1.08,-0.5,0,0,"100%","0.00%","0.00%",72.9,0.077,0.154,0,"50.00%","Big South - OVC Football Association","FCS"
"Jackson Burleson","PRESBYTERN",22,21.71,"D",20,"HB",2026,"Pioneer",58.5,1,6,5,0.8,0,1,0,0,1,-4,-0.7,9,1.5,0,0.167,0.17,0,0,"PRESBYTERN",20,"Pioneer",66,2,12,0,2,2,54,27,0,1,0,0,0,2,0,0,63,31.5,6,0,4.5,-4.5,1,0,"100%","0.00%","0.00%",118.8,0,0.167,0,"100%","Pioneer","FCS"
"Amari Pryear","HAMPTON",NA,21.42,"D",20,"HB",2026,"CAA",0,0,7,57,8.1,1,3,0,0,0,37,5.3,11,1.6,1,0.429,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Myles Thomason","NEW HAMP",42,21.38,"D",23,"HB",2026,"CAA",56.6,3,12,32,2.7,0,2,0,0,0,3,0.3,29,2.4,0,0.167,0,1,0,"NEW HAMP",23,"CAA",54.5,2,25,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,"100%","0.00%","50.00%",56.3,0,0.08,0,"50.00%","CAA","FCS"
"Matt Morad","WAGNER",26,21.32,"D",3,"HB",2026,"Northeast",58.8,2,8,19,2.4,0,0,0,0,2,-2,-0.3,21,2.6,0,0,0.25,0,0,"WAGNER",3,"Northeast",60.6,1,10,1,3,2,3,1.5,0,0,0,0,0,2,0,0,1,0.5,0,0,0.3,1,0,0,"100%","0.00%","0.00%",70.1,0,0.3,0,"66.70%","Northeast","FCS"
"Troy Flowers","STETSON",48,21.06,"D",8,"HB",2026,"Pioneer",57.2,2,11,22,2,0,0,0,0,0,-2,-0.2,24,2.2,0,0,0,0,0.182,"STETSON",8,"Pioneer",61.3,1,21,0,2,2,10,5,0,1,0,0,0,2,0,0,14,7,3,0,0.48,-2,0,0,"100%","0.00%","0.00%",87.5,0,0.095,0,"100%","Pioneer","FCS"
"Cameron Young","CENT ARK",31,20.87,"D",2,"HB",2026,"United Athletic",64.6,3,6,10,1.7,0,1,0,0,1,4,0.7,6,1,0,0.167,0.17,0,0.167,"CENT ARK",2,"United Athletic",57.1,2,13,0,1,1,-5,-5,0,0,0,0,0,1,0,0,0,0,0,0,-0.38,-5,0,0,"100%","0.00%","0.00%",79.2,0.077,0.077,0,"100%","United Athletic","FCS"
"Damashja Harris","INCAR WORD",14,20.43,"D",24,"HB",2026,"Southland",65.7,4,8,32,4,0,2,0,0,0,15,1.9,17,2.1,0,0.25,0,1,0,"INCAR WORD",24,"Southland",56.6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Tommy Lafayette","PENN",24,20.41,"D",32,"HB",2026,"Ivy",55,1,6,21,3.5,0,0,0,0,0,10,1.7,11,1.8,0,0,0,0,0,"PENN",32,"Ivy",63.9,1,11,0,3,3,28,9.3,0,1,0,0,0,3,0,0,25,8.3,8,0,2.55,1,1,0,"100%","0.00%","0.00%",105.6,0,0.273,0,"100%","Ivy","FCS"
"Harrison Bey-Buie","CHATTNOOGA",14,20.37,"D",32,"HB",2026,"Southern",57.9,2,9,22,2.4,1,3,0,0,0,9,1,13,1.4,0,0.333,0,0,0,"CHATTNOOGA",32,"Southern",57.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southern","FCS"
"Jake Croce","HOLY CROSS",8,20.13,"D",40,"HB",2026,"Patriot",66.1,3,6,28,4.7,0,2,0,0,0,11,1.8,17,2.8,0,0.333,0,0,0,"HOLY CROSS",40,"Patriot",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Delon Thompson","PORTLAND",28,19.89,"F",24,"HB",2026,"Big Sky",53.5,0,9,12,1.3,0,0,0,0,1,-1,-0.1,13,1.4,0,0,0.11,0,0.222,"PORTLAND",24,"Big Sky",58.2,1,11,0,2,2,5,2.5,0,0,0,0,0,2,0,0,15,7.5,4,0,0.45,-5,0,0,"100%","0.00%","0.00%",79.2,0,0.182,0,"100%","Big Sky","FCS"
"Chris Franklin","TENN MARTN",22,19.7,"F",2,"HB",2026,"Big South - OVC Football Association",56.5,1,7,26,3.7,0,0,0,0,1,6,0.9,20,2.9,0,0,0.14,1,0.143,"TENN MARTN",2,"Big South - OVC Football Association",54.2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big South - OVC Football Association","FCS"
"Shawn James","WAGNER",9,19.66,"F",33,"HB",2026,"Northeast",61.6,2,7,34,4.9,0,1,0,0,0,24,3.4,10,1.4,0,0.143,0,1,0,"WAGNER",33,"Northeast",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Northeast","FCS"
"Kaden Williams","AUSTINPEAY",14,19.51,"F",6,"HB",2026,"United Athletic",56.9,1,6,11,1.8,0,1,0,0,1,-5,-0.8,16,2.7,0,0.167,0.17,1,0,"AUSTINPEAY",6,"United Athletic",59,1,6,0,2,1,1,1,0,0,0,0,0,1,0,0,5,5,1,0,0.17,8,0,0,"100%","0.00%","0.00%",56.3,0.167,0.333,0.5,"50.00%","United Athletic","FCS"
"Quentin Skillings","ILL STATE",13,19.42,"F",21,"HB",2026,"Missouri Valley",61.9,2,7,21,3,0,2,0,0,0,7,1,14,2,0,0.286,0,0,0.143,"ILL STATE",21,"Missouri Valley",56.2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"TJ Worthy","CHATTNOOGA",8,19.28,"F",24,"HB",2026,"Southern",62.9,2,8,41,5.1,0,2,0,0,0,27,3.4,14,1.8,0,0.25,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Sean Williams Jr.","PENN",15,18.85,"F",5,"HB",2026,"Ivy",64.9,3,6,25,4.2,0,2,0,0,0,11,1.8,14,2.3,0,0.333,0,0,0,"PENN",5,"Ivy",56.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Ivy","FCS"
"O'Shea Faison","COLGATE",23,18.28,"F",24,"HB",2026,"Patriot",55,1,11,34,3.1,0,2,0,0,0,14,1.3,20,1.8,0,0.182,0,0,0,"COLGATE",24,"Patriot",57.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Tre' Hartwell","CHISTA",17,16.93,"F",0,"HB",2026,"IND (FCS)",47.7,3,8,23,2.9,0,0,1,1,1,13,1.6,10,1.3,0,0,0.13,0,0.125,"CHISTA",0,"IND (FCS)",55.1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","IND (FCS)","FCS"
"Ty Stauffer","BUCKNELL",21,16.65,"F",5,"HB",2026,"Patriot",60.4,4,11,30,2.7,0,1,0,0,0,6,0.6,24,2.2,0,0.091,0,0,0,"BUCKNELL",5,"Patriot",25.6,1,4,0,2,1,2,2,0,0,0,1,0,1,0,0,8,8,0,0,0.5,-3.5,0,0,"100%","0.00%","0.00%",56.3,0,0.5,0,"50.00%","Patriot","FCS"
"Zay Davis","NWSTATE",NA,16.26,"F",7,"HB",2026,"Southland",0,0,6,5,0.8,0,1,0,1,0,-1,-0.2,6,1,0,0.167,0,0,0,"NWSTATE",7,"Southland",0,0,2,0,2,2,63,31.5,1,2,0,0,0,0,0,0,0,0,0,0,31.5,0,2,0,"0.00%","0.00%","0.00%",158.3,0,1,0,"100%","Southland","FCS"
"Michael Cadden","BUCKNELL",19,16.03,"F",26,"HB",2026,"Patriot",65.6,3,7,16,2.3,0,0,0,0,0,-5,-0.7,21,3,0,0,0,0,0,"BUCKNELL",26,"Patriot",64.3,1,8,0,2,2,3,1.5,0,0,0,0,0,2,0,0,10,5,-1,0,0.38,-3.5,0,0,"100%","0.00%","0.00%",79.2,0,0.25,0,"100%","Patriot","FCS"
"Chandler Chapman","S ILLINOIS",28,15.87,"F",8,"HB",2026,"Missouri Valley",57.2,1,6,6,1,0,0,0,0,0,-3,-0.5,9,1.5,0,0,0,0,0,"S ILLINOIS",8,"Missouri Valley",54,1,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,"0.00%","0.00%","100%",39.6,0,0.077,1,"0.00%","Missouri Valley","FCS"
"Jimmyll Williams","ELON",21,15.25,"F",26,"HB",2026,"CAA",56.8,1,6,5,0.8,0,0,0,0,0,-2,-0.3,7,1.2,0,0,0,0,0,"ELON",26,"CAA",62.1,1,8,0,2,2,20,10,0,1,0,0,0,2,0,0,21,10.5,6,0,2.5,-0.5,1,1,"100%","0.00%","0.00%",108.3,0,0.25,0,"100%","CAA","FCS"
"Caleb Kamara","N IOWA",10,15.15,"F",27,"HB",2026,"Missouri Valley",63.7,3,7,21,3,0,1,0,0,0,5,0.7,16,2.3,0,0.143,0,0,0,"N IOWA",27,"Missouri Valley",58.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Deuce Young","GARD-WEBB",NA,14.93,"F",10,"HB",2026,"Big South - OVC Football Association",0,0,6,34,5.7,0,1,0,0,1,2,0.3,32,5.3,0,0.167,0.17,2,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
"Justin Montgomery","W GEORGIA",NA,14.8,"F",2,"HB",2026,"United Athletic",0,0,16,55,3.4,0,4,0,0,0,11,0.7,44,2.8,0,0.25,0,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Max McCool","INDIANA ST",18,14.33,"F",20,"HB",2026,"Missouri Valley",60.9,2,8,17,2.1,0,0,0,0,1,-1,-0.1,18,2.3,0,0,0.13,0,0,"INDIANA ST",20,"Missouri Valley",57.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Teagan Hackett","BETH COOK",NA,12.43,"F",34,"HB",2026,"SWAC",0,0,11,41,3.7,0,4,0,0,0,41,3.7,0,0,0,0.364,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Brodey Berg","DAVIDSON",NA,11.8,"F",24,"HB",2026,"Pioneer",0,0,6,28,4.7,0,2,0,0,0,17,2.8,11,1.8,0,0.333,0,1,0,"DAVIDSON",24,"Pioneer",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,-4,0,0,"0.00%","0.00%","0.00%",79.2,0,1,0,"100%","Pioneer","FCS"
"Michael Walters","COLUMBIA",NA,11.35,"F",24,"HB",2026,"Ivy",0,0,12,51,4.3,0,2,0,0,0,16,1.3,35,2.9,0,0.167,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Ivy","FCS"
"Kolton Nero","ALAB A&M",NA,10.32,"F",7,"HB",2026,"SWAC",0,0,8,26,3.3,1,1,0,0,0,11,1.4,15,1.9,0,0.125,0,0,0,"ALAB A&M",7,"SWAC",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,-6,0,0,"0.00%","0.00%","0.00%",79.2,0,1,0,"100%","SWAC","FCS"
"Traveion Slaughter","VA MILT IN",NA,10.08,"F",1,"HB",2026,"Southern",0,0,6,26,4.3,0,3,0,1,0,15,2.5,11,1.8,0,0.5,0,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Myion Hicks","NWSTATE",NA,9.45,"F",0,"HB",2026,"Southland",0,0,7,26,3.7,0,2,0,0,0,22,3.1,4,0.6,0,0.286,0,1,0,"NWSTATE",0,"Southland",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",39.6,0,1,0,"0.00%","Southland","FCS"
"Brayden Latham","E KENTUCKY",NA,8.25,"F",14,"HB",2026,"United Athletic",0,0,11,39,3.5,0,1,0,0,0,-8,-0.7,47,4.3,0,0.091,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Donovan Shepard","HAMPTON",NA,8.2,"F",23,"HB",2026,"CAA",0,0,6,31,5.2,0,1,0,0,0,12,2,19,3.2,0,0.167,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Will Jones","DAVIDSON",NA,7.06,"F",28,"HB",2026,"Pioneer",0,0,7,31,4.4,0,1,0,0,0,19,2.7,12,1.7,0,0.143,0,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Pioneer","FCS"
"Mason Hackett","DAYTON",NA,6.52,"F",27,"HB",2026,"Pioneer",0,0,12,33,2.8,0,1,0,0,0,11,0.9,22,1.8,0,0.083,0,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Pioneer","FCS"
"Justin Guin","N COLORADO",NA,5.22,"F",6,"HB",2026,"Big Sky",0,0,6,13,2.2,0,1,0,0,0,1,0.2,12,2,0,0.167,0,0,0,"N COLORADO",6,"Big Sky",0,0,2,0,2,2,1,0.5,0,0,0,0,0,0,0,0,5,2.5,3,0,0.5,-2,0,0,"0.00%","0.00%","0.00%",79.2,0,1,0,"100%","Big Sky","FCS"
"Jamal Hailey","FL A&M",NA,1.7,"F",2,"HB",2026,"SWAC",0,0,7,15,2.1,0,1,0,0,0,5,0.7,10,1.4,0,0.143,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Trevor Pearson","TENN STATE",NA,0,"F",21,"HB",2026,"Big South - OVC Football Association",0,0,7,15,2.1,0,0,0,0,0,10,1.4,5,0.7,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
