"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Zion Graham","SACR HEART",17,46.26,"C"
"DaMari Washington","PORTLAND",30,46.25,"C"
"Daylyn Diston","FL A&M",50,46.06,"C"
"Amari Jackson","VILLANOVA",21,46.06,"C"
"Katrevrick Banks","GRAMBLING",17,45.85,"C"
"Nikkem Reynolds","NEWHVN",27,45.68,"C"
"Vance Sheppert","CAMPBELL",50,45.4,"C"
"Ian Langan","LAFAYETTE",51,45.32,"C"
"Johnathan Guerrero","SAN DIEGO",18,45.13,"C"
"Zavian Dilworth","NICHOLLS",42,44.75,"C"
"Solomon Oduma","ILL STATE",27,44.64,"C"
"Jalen Edwards","LAFAYETTE",52,44.37,"C"
"Samuel McCall","BETH COOK",36,44.16,"C"
"Patrick Kince Jr.","ALCORN ST",42,43.66,"C"
"Khaleb Bridges","CITADEL",61,43.66,"C"
"Zay Franks","SE LA",58,43.63,"C"
"Keon Powell","ALBANY",39,43.51,"C"
"Jordan Jackson","GARD-WEBB",32,43.42,"C"
"Jahel Alexis","FL A&M",38,43.24,"C"
"Ross Davidson","YNGTOWN ST",19,42.69,"C"
"Davis Rice","LEHIGH",20,42.58,"C"
"Jalon Jones","LNDNWD",42,42.47,"C"
"Tayshaun Burney","RICHMOND",61,42.35,"C"
"Cam Boone","HOLY CROSS",46,42.26,"C"
"Olatunde Mkparu","BRYANT",49,42.14,"C"
"Jackson Dowd","LEHIGH",23,42.07,"C"
"Myti Johnson","W GEORGIA",45,41.88,"C"
"Lorenzell Dubose","MCNEESE",26,41.68,"C"
"Brysen Conner","HAMPTON",19,41.58,"C"
"Coleman Calmus","RICHMOND",24,41.46,"C"
"Duke Bradley","BRYANT",26,41.05,"C"
"DeMarkus Boykin","MURRAY ST",20,40.94,"C"
"Isaac Edwards","LNDNWD",30,40.59,"C"
"Tyrell Johnson","MS VLY ST",27,40.58,"C"
"Caden Rice","HAMPTON",34,40.38,"C"
"Mikey Allen","VILLANOVA",54,40.03,"C"
"Corday Bethel","MERRIMACK",27,39.86,"D"
"Shawn Cummings","W GEORGIA",17,39.78,"D"
"Chase Jarrett","COLGATE",40,39.75,"D"
"Dorian Gibson","W GEORGIA",32,39.73,"D"
"Tajon Evans","WEBER ST",29,39.7,"D"
"Tareq Council","CHISTA",63,39.54,"D"
"RJ Stewart","S DAKOTA",55,39.38,"D"
"Jeremiah Harris","MAINE",19,39.37,"D"
"Takai Whitmore","BUCKNELL",36,39.3,"D"
"Christopher Sharp","E ILLINOIS",22,39.29,"D"
"Javier Waldron","NORFOLK",37,39.21,"D"
"Juice Ricks","MERRIMACK",32,39.2,"D"
"Farand Washington","TENN MARTN",58,38.7,"D"
"Deandre Creary","AUSTINPEAY",24,38.16,"D"
"Gavin Harris","CAMPBELL",17,38.09,"D"
