"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Laviel Pickett","UC DAVIS",85,42.5,2,37.23,"D+"
"Andrew Frazier","DAVIDSON",31,31,1,37.16,"D+"
"Jalen Patrick","PRESBYTERN",45,45,1,37.16,"D+"
"Cam Bulluck","TENN STATE",31,31,1,37.14,"D+"
"Kameran Senegal","MCNEESE",63,31.5,2,36.97,"D+"
"Lofton O'Groske","S DAK ST",73,73,1,36.93,"D+"
"Matthew Iuvara","ALBANY",27,27,1,36.9,"D+"
"Jashaun Amin","TOWSON",29,29,1,36.8,"D+"
"Ty Carlson","NEW HAMP",85,42.5,2,36.64,"D+"
"Tony Harste","IDAHO",102,51,2,36.55,"D+"
"Elijah Daniels","CENT CT ST",23,23,1,36.48,"D+"
"Alfred Honesty","WM & MARY",58,58,1,36.34,"D+"
"Allen Middleton","S ILLINOIS",75,37.5,2,36.32,"D+"
"Semaj Pierre","HOWARD",66,33,2,36.27,"D+"
"Kaymen Coleman","CHISTA",28,28,1,36.16,"D+"
"Justin Perry","MORGAN ST",29,29,1,36.14,"D+"
"Jarvis Hayes","E KENTUCKY",47,47,1,36.1,"D+"
"Tommy Poe","IDAHO ST",51,51,1,36.04,"D+"
"Daveon Walker","TEXAS STHN",37,37,1,36.01,"D+"
"Luke McAuliffe","ALBANY",28,28,1,36.01,"D+"
"Tyler Hennessy","UC DAVIS",29,29,1,35.79,"D+"
"Tristin Purnell","SE MO ST",30,30,1,35.66,"D+"
"Damien McDaniel","PRVIEW A&M",57,28.5,2,35.51,"D+"
"Zack Card","IDAHO",52,26,2,35.21,"D+"
"LJ Green","MURRAY ST",30,30,1,35.06,"D+"
"Colton Rodriguez","TARLETON",19,19,1,35.04,"D+"
"Ellis Stewart","NICHOLLS",89,44.5,2,35.01,"D+"
"Caleb Johnson","PRESBYTERN",42,42,1,34.93,"D+"
"Toric Goins Jr.","PRVIEW A&M",64,32,2,34.88,"D+"
"BJ Wuest","INDIANA ST",28,28,1,34.81,"D+"
"Clayton Wayland","STF AUSTIN",92,46,2,34.76,"D+"
"Elijah Taylor","SAN DIEGO",103,51.5,2,34.7,"D+"
"Marvin Session","WEBER ST",146,73,2,34.47,"D+"
"Malik Leverett","W GEORGIA",77,38.5,2,34.04,"D+"
"Damani Williams","CENT CT ST",42,42,1,33.99,"D+"
"Gabe Nunez","TENN TECH",30,30,1,33.93,"D+"
"Evan Wallace","MAINE",65,32.5,2,33.91,"D+"
"Rickie Shaw II","BETH COOK",31,31,1,33.81,"D+"
"Steven Dowdy Jr.","SACR HEART",48,48,1,33.72,"D+"
"Jamarien Dalton","ELON",90,45,2,33.7,"D+"
"Willis Nofsinger","DRAKE",37,37,1,33.69,"D+"
"Se'Quan Osborne","HOWARD",87,43.5,2,33.61,"D+"
"Ryan Pellum Taylor","DELWARE ST",97,48.5,2,33.52,"D+"
"Will Greene","UTAHTC",38,38,1,33.46,"D+"
"Isaiah Scott","WOFFORD",92,46,2,33.37,"D+"
"Dorian Williams","YNGTOWN ST",29,29,1,33.28,"D"
"Jarvis Jones","TOWSON",35,35,1,33.24,"D"
"Keylijah Williams","BRYANT",75,37.5,2,33.18,"D"
"Deverious Abercrombie","PRESBYTERN",40,40,1,32.88,"D"
"Dylan Rhodes","NWSTATE",98,49,2,32.84,"D"
"Evan Brooks","LIUSHAR",93,46.5,2,32.73,"D"
"Markell Quick","S ILLINOIS",109,54.5,2,32.66,"D"
"Jaylin Terzado","DELWARE ST",72,72,1,32.46,"D"
"Amare Lattimore","MERCYHURST",60,30,2,32.41,"D"
"Josiah Rainey","DRAKE",26,26,1,32.34,"D"
"Ricky Gonzalez II","FORDHAM",89,44.5,2,32.2,"D"
"Santana Carlos","W CAROLINA",52,26,2,32.16,"D"
"Jamai East","E WASHGTON",71,35.5,2,32.13,"D"
"Joseph Young","LIUSHAR",110,55,2,31.56,"D"
"Alani Ajigbotosho","DAVIDSON",53,53,1,31.44,"D"
"Tre' Holloway","TENN TECH",51,51,1,31.28,"D"
"Jyron Waiters","CAMPBELL",75,37.5,2,31.27,"D"
"Auystn Howe","CENT CT ST",32,32,1,31.19,"D"
"Weston Adams","MONTANA",30,30,1,31.15,"D"
"Justin Reshard","STNY BROOK",19,19,1,31.08,"D"
"Kenaz McMillian","ELON",89,44.5,2,31.07,"D"
"Nolan Chambers","ALCORN ST",24,24,1,31.05,"D"
"Brandon Winton","E TENN ST",49,49,1,30.81,"D"
"Eric Weatherly","TENN TECH",29,29,1,30.81,"D"
"Petey Tucker","W ILLINOIS",39,39,1,30.8,"D"
"Kenyon Massey","MERRIMACK",94,47,2,30.7,"D"
