"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"EMILIANO SOLDEVILLA","LA LAFAYET",25,1.9,"F",0,0,0,0,0,0,57.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"JOE STEIN","N ILLINOIS",18,1.88,"F",0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"WESLEY CAMPBELL VI","GA STATE",28,1.73,"F",0,0,0,0,0,0,56.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"JAMESON SCISSUM","JVILLE ST",21,1.73,"F",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"TY RUPE","UTSA",13,1.67,"F",0,0,0,0,0,0,55.7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"BEN VERGES","COAST CAR",11,1.61,"F",0,0,0,0,0,0,55.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"BRENDAN LOFTUS","MIAMI OH",16,1.56,"F",0,0,0,0,0,0,54.8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"EVAN POTICHER","MIDDLE TN",19,1.51,"F",0,0,0,0,0,0,54.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"TANNER LEMASTER","E MICHIGAN",33,1.43,"F",0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"LUKE CLYBURN","USF",31,1.42,"F",0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"CARSON SU'ESU'E","NEW MEX ST",23,1.42,"F",0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"COLLIN REMENOWSKY","UTAH ST",22,1.42,"F",0,0,0,0,0,0,53.9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"LUKE TEVIS","TULSA",13,1.37,"F",0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"EVAN DANGLER","USF",27,1.36,"F",0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"JACOB NEWELL","TOLEDO",18,1.25,"F",0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ANTONIO FERGUSON","UAB",44,1.22,"F",0,0,0,0,0,0,51.9,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"RYAN WOLFER","S DIEGO ST",16,1.22,"F",0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"MATT BURON","GA STATE",19,1.21,"F",0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ISAAC SCHOENFELD","WYOMING",15,1.16,"F",0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"TYLER LITTLE","ARK STATE",29,1,"F",0,0,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"EVERETT HUNTER","S ALABAMA",42,0.93,"F",0,0,0,0,0,0,50.3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"NADER CHIRCHI","COLO STATE",40,0.92,"F",0,0,0,0,0,0,50.2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
